(Не изменять) Травмированная часть;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
f4f71c85-d3b1-e811-a964-000d3a22ca8c;cwVgDaYQRaFUviSysN1sgnK4Oqlng79pLuvS7bICBY92MNQBrCKcsZy2EIQuxqViqNUIYsB6N9wK+Zxx0wW/ww==;06.09.2018 12:51;Бедро и тазобедренный сустав
eef71c85-d3b1-e811-a964-000d3a22ca8c;MBq3qmTCcMDY9IOWLfE2B/05qfcXvyOFeWXE/q2orLm+HTARbZwjugSWPj1N8ggR3rXzlwICyPKtFvcVqhFFfA==;06.09.2018 12:51;Большой палец кисти
e8f71c85-d3b1-e811-a964-000d3a22ca8c;hNZ0lKe2sYhwj1iqFrNRv2xcLF7yM1mKzda2XQ8A1zhR7Ka9iqqTKPQawJSivfmrNmEOa00tYv6uwrHwahUTMQ==;06.09.2018 12:51;Верхние конечности
f2f71c85-d3b1-e811-a964-000d3a22ca8c;mRYoWQXSoSUIQYD9y9ByVIXOeSUW/kQ4GSxn5zwdUK9OYJTPKtjwLBN+r00s8JXd8WwGoXtbxoefhHWj1kvWMQ==;06.09.2018 12:51;Верхние конечности, повреждения многих областей
c8f71c85-d3b1-e811-a964-000d3a22ca8c;YhNoaQfdNT2u/b1coFgLgQ3fB57M+O/4Vgceup9TT/eSc+Z6ch3HTkc4MzaMJIgau31TI+yDuDlovf17CkHdig==;06.09.2018 12:51;Глаз (глаза)
f8f71c85-d3b1-e811-a964-000d3a22ca8c;y1CLcEJmCJ2U4k8VbYX9N7tBhnex9ww0Df7vbz/UvAMtIuEoBXiQRmIPNdFHX2sKXverOLGuDtqS52P7I/tZQA==;06.09.2018 12:51;Голеностопный сустав(ы)
f6f71c85-d3b1-e811-a964-000d3a22ca8c;qed+nfvL/blculLWEgQ6FbdI0hWHzQdmwx8dU7SNW1SSGMyGsvs2rlq2ErychEs9EPT/myzud0jMM7BRCMRrkg==;06.09.2018 12:51;Голень, в том числе колено(и)
d0f71c85-d3b1-e811-a964-000d3a22ca8c;1bSZ9Y/e/yFGenTuef0GIKlxZBAw+36ZCCfjhi1Zt8v1becCF9itwwNqucXV+oZgfe0aeZTJvvh5HTUcNU0ubw==;06.09.2018 12:51;Голова
cef71c85-d3b1-e811-a964-000d3a22ca8c;EF0z+cw9oBi64nJXVIbWpIEAs9xNj3dvpUzb/983ubmaexrn+p0IMHybCv90oijFwG4dmgmBqP8kByVYhyivKg==;06.09.2018 12:51;Голова, многочисленные травмы
daf71c85-d3b1-e811-a964-000d3a22ca8c;69YNLqp6/ed4CS1kiLlt0dAoySIRK5XsY9Kr44bAVJIeYg1YU1FrE1knIKZ/4D+F9JKLvi5bM8xcc3J/t28Qsw==;06.09.2018 12:51;Грудная клетка
