(Не изменять) Опасность;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
792c090a-0626-e911-a97e-000d3a22ca8c;PhOkgU8nTJIO04WgloYK83v+JWffN504JyyjmohgchelHkd2fswQ40QG5dsTrt0gOk0e6M7L9gRJpAfP5gingg==;01.02.2019 09:45;Альфа, бета излучение (закрытые источники)
7b2c090a-0626-e911-a97e-000d3a22ca8c;2ilSpKoxB3fHCknuOO3Irdp58gn5OrUlcjVrCKfhhGJeF1Gb7zWj17HNhUPfQxJRYfxxSGfztDJBT7DelXkUWQ==;01.02.2019 09:45;Альфа, бета излучение (открытые источники)
7d2c090a-0626-e911-a97e-000d3a22ca8c;XBJUtOTUhuUfPE2Sia5zB0CvDWpqDL5nI1sLB8ll54I42I9Tkl1D5reR3GutyNmIv5kEAIsbtrrYXYJdYUEQ+A==;01.02.2019 09:45;Аммиак 
7f2c090a-0626-e911-a97e-000d3a22ca8c;GjxNvqneD6LlqEoOXvLcZFOOnCi65iLD/DFXWfQuccsVeRLhJsK+kSAti55mKTC4g45pQD5sDuGfd7RN0yYqyg==;14.05.2019 08:22;Асбест
812c090a-0626-e911-a97e-000d3a22ca8c;BYH9KwIhEnt9GI0RD9F1NnMV3SXAIxrvc0GlFzAAKYt+//ZbaoIdF6EcOw3PZft29CL4szeRL3CcxM3F7M7Sxw==;01.02.2019 09:45;Атмосферные влияния
832c090a-0626-e911-a97e-000d3a22ca8c;pZ6+Ad9LYTwIT1f0QcpAGSuI31tfrc35xW4RxbReM1QQI1G4Ss/wI58lSLwJlAHu9EGj9mP5CwJ2HOok7QGUGw==;01.02.2019 09:45;Баллонный газ под давлением
852c090a-0626-e911-a97e-000d3a22ca8c;ib/+J3mksRLiWWa8ShgK7OxsfTqH9s/CeBlwCLZlDfyc/USCam/dx33EHVS65RFlO6UiJB/AtFNdF0ANhLrZ4g==;01.02.2019 09:45;Бензин
872c090a-0626-e911-a97e-000d3a22ca8c;0fTvUfTpJS9KP0S14Y2crsooPEFKijUUZSwplRN080FWWl4iEqPLT70CilQrYoZhndQCdqnfDfAp/5yQ7+vJoQ==;01.02.2019 09:45;Бензол 
892c090a-0626-e911-a97e-000d3a22ca8c;0rGfBE0K1jo5QQ4Olo2JVJyXj66ox7FK89TqardxE6f8tICsfhgOiJleCFgW14dY4ACwkFaWj7UqFwQZUqynFA==;01.02.2019 09:45;Биоциды (глутеральдегид)
8b2c090a-0626-e911-a97e-000d3a22ca8c;0zcvhli2NsqeV2j342TaomNSt10srg7K4DAp5PevMcb1NQRPRL+yu7XUFLQVuQDH3o4QkTrLK+MtBfHBkdG95A==;01.02.2019 09:45;Буровые растворы
8d2c090a-0626-e911-a97e-000d3a22ca8c;BfNImGv3jtdwWrc19PKLSvcn98pw1fepX0EKPS09aicbepwTDMypCIGlyi/sczFhYkbcd83AMXqaA1Lg9X7ssg==;01.02.2019 09:45;Бытовые сточные воды и /или фекальные стоки
8f2c090a-0626-e911-a97e-000d3a22ca8c;RpGiD0nNH/wdvm4G9OLvgpDfnL+gdWJCk9EQ4mnN1BsRkkMv/AMDYQDi83KopBmdW7LdPrujGwgy43mHUj44jg==;01.02.2019 09:45;Взрывоопасные газы 
